ENG; M
longer; is longer
far below; far below
far right; far right
near right; near right
near below; near below
close right; close right
close below; close below
edge below; edge below
edge right; edge right
inside below; inside below
inside right; inside right
inside above; inside below
inside left; inside left
edge above; inside above
edge left; inside left
close left; close left
close above; close above
near above; bear above
near left; near left
far above; far above
far left; far left
above; above
left-above; on the left above
left; on the left
horizontal; horizontal
vertical; vertical
centered; in the center
left-below; on the left below
below; below
right-below; on the right below
right; on the right
right-above; on the right above
