LP, LP_VERB, M, D, B, N
1, jeden, pierwszy, pierwszego, pierwszy, pierwszym
2, dwa, drugi, drugiego, drugi, drugim
3, trzy, trzeci, trzeciego, trzeci, trzecim
4, cztery, czwarty, czwartego, czwart, czwartym
5, pięć, piąty, piątego, piąt, piątym
6, sześć, szóśty, szóśtego, szóśt, szóstym
7, siedem, siódmy, siódmego, siódmy, siódmym
8, osiem, ósmy, ósmego, ósmy, ósmym
9, dziewięć, dziewiąty, dziewiątego, dziewiąty, dziewiątym
10, dziesięć, dziesiąty, dziesiątego, dziesiąty, dziesiątym
11, jedenaście
12, dwanaście
13, trzynaście
14, czternaście
15, piętnaście
