ENG, PL, B, N
person, człowiek, ,człowiekiem
bicycle, rower, ,rowerem
car, samochód, ,samochodem
motorcycle, motocykl, ,motocyklem
airplane, samolot, ,samolotem
bus, autobus, ,autobusem
train, pociąg, pociągiem
truck, półciężarówka, półciężarówkę, półciężarówką
boat, łódź, łodzią
traffic light, sygnalizator świetlny,
fire hydrant, hydrant, hydrantem
stop sign, znak stop, znakiem stopu
parking meter, parkometr, parkometrem
bench, ławka, ławką
bird, ptak, ptakiem
cat, kot, kotem
dog, pies, psa, psem
horse, koń,
sheep, owca,
cow,krowa,
elephant, słoń,
bear, niedźwiedź,
zebra, zebra,
giraffe, żyrafa,
backpack, plecak,
umbrella, parasol,
handbag, torebka,
tie, krawat,
suitcase, walizka,
frisbee, frizbi,
skis, narty,
snowboard,  snowboard,
sports ball, piłka sportowa,
kite, latawiec,
baseball bat, kij bejsbolowy,
baseball glove, rękawica bejsbolowa,
skateboard, deska skejtbordowa,
surfboard, deska serfingowa,
tennis racket, rakieta tenisowa,
bottle, butelka, butelkę, butelką
wine glass, kieliszek wina,
cup, kubek, kubek, kubkiem
fork, widelec,
knife, nóż,
spoon, łyżka,
bowl, miska, miską
banana, banan,
apple, jabłko,
sandwich, kanapka,
orange, pomarańcza, pomarańczą
broccoli, brokół,
carrot, marchew,
hot dog, hot dog,
pizza, pizza,
donut,  pączek,
cake, ciastko,
chair,  krzesło, krzesło, krzesłem
couch,  kanapa,
potted plant, roślina w doniczce, roślinę w doniczce, rośliną w doniczce
bed, łóżko, łóżko, łóżkiem
dining, table,
toilet, toaleta,
tv, telewizor, telewizor, telewizorem
laptop, laptop, laptop, laptopem
mouse, mysz komputerowa, mysz komputerową, myszą komputerową
remote, pilot do telewizora, pilot do telewizora, pilotem do telewizora
keyboard, klawiatura, klawiaturę, klawiaturą
cell phone, telefon komórkowy,
microwave, mikrofalówka, mikrofalówkę, mikrofalówką
oven, piekarnik,
toaster, toster,
sink, zlew,
refrigerator, lodówka, lodówkę, lodówką
book, książka, książkę, książką
clock, zegar,
vase, wazon,
scissors, nożyczki,
teddy bear, pluszowy miś,
hair drier, suszarka do włosów,
toothbrush, szczoteczka do zębów,
scene, scena,
